           1           0         208         208  0.896707237    
     2.654     -3.000     1     3      6.201     0  2212
     0.519     -1.042     2     3      5.886     0  2212
    -2.017     -0.207     3     3      5.875     0  2212
     2.252     -0.893     4     3      5.559     0  2212
    -2.241      0.489     5     3      5.539     0  2112
     5.178      3.737     6     3      5.399     0  2212
     2.952     -0.390     7     3      5.342     0  2212
    -0.385     -3.456     8     3      5.212     0  2112
    -0.849     -1.321     9     3      5.196     0  2212
     2.072     -0.343    10     3      5.122     0  2112
     1.729     -0.875    11     3      5.017     0  2212
    -0.138     -2.293    12     3      4.982     0  2212
    -3.459     -0.103    13     3      4.867     0  2212
     2.337     -3.709    14     3      4.829     0  2212
    -2.599      4.371    15     3      4.794     0  2212
     2.004     -0.704    16     3      4.616     0  2212
    -2.617     -4.145    17     3      4.591     0  2212
     1.273      2.414    18     3      4.515     0  2212
     0.340     -3.714    19     1      4.514  2212  2212
     0.770     -0.705    20     3      4.458     0  2212
    -0.131     -0.929    21     3      4.323     0  2212
     0.562     -1.884    22     3      4.258     0  2212
     2.446      5.235    23     3      4.254     0  2112
    -1.455      2.275    24     3      4.173     0  2212
     2.787     -2.483    25     3      4.165     0  2212
    -2.152      1.640    26     3      4.093     0  2212
     1.617      3.725    27     3      4.082     0  2212
     0.499      2.328    28     3      3.957     0  2112
     5.129      1.568    29     3      3.928     0  2112
     2.386      4.745    30     3      3.901     0  2212
     4.370      5.735    31     0      3.885  2212  2212
    -2.946      4.512    32     3      3.856     0  2212
     0.587     -6.703    33     2      3.779  2212  2212
    -0.769      2.833    34     3      3.750     0  2212
     3.228     -2.180    35     3      3.706     0  2212
    -1.717     -0.381    36     3      3.650     0  2212
     3.153      3.474    37     3      3.538     0  2212
     1.332      5.234    38     3      3.410     0  2112
     4.420     -6.451    39     0      3.368  2212  2212
     1.262      0.317    40     3      3.356     0  2112
     4.299     -3.674    41     0      3.262  2212  2212
    -0.293     -4.056    42     3      3.253     0  2112
     4.391      0.673    43     3      3.196     0  2212
     2.655     -3.329    44     3      2.988     0  2212
    -1.022      0.228    45     3      2.986     0  2212
    -6.007      0.698    46     3      2.877     0  2212
    -2.738     -2.667    47     3      2.876     0  2212
     2.023     -0.252    48     3      2.855     0  2212
     3.819     -1.745    49     3      2.811     0  2212
    -0.867      3.954    50     3      2.740     0  2212
    -1.518      3.384    51     3      2.644     0  2212
    -3.975     -2.205    52     3      2.594     0  2112
     4.999     -2.466    53     3      2.573     0  2212
    -3.749     -0.618    54     3      2.494     0  2212
