      1      1   2647    2.9058      186 185   6 180   2 183      0.0000
  -211    0.429   -0.112     -0.8911  0.140     8.39    -0.66   -12.65    14.40
  2112    0.000    0.000      9.9558  0.940     7.60    -0.00     0.20     0.20
  2112    0.000    0.000      9.9558  0.940     5.95    -2.78     0.20     0.20
  2212    0.000    0.000     -9.9558  0.940    -5.39     1.84    -0.20     0.20
  2212    0.000    0.000     -9.9558  0.940    -4.35     3.99    -0.20     0.20
  2212    0.000    0.000     -9.9558  0.940    -6.56    -1.95    -0.20     0.20
  2112    0.000    0.000     -9.9558  0.940    -4.36     7.89    -0.20     0.20
   111    0.154   -0.453     -0.9585  0.135     3.96   -16.16   -52.25    55.20
   211    0.087    0.013      0.2015  0.140    -5.60     3.49    56.90    58.80
  2212    0.000    0.000      9.9558  0.940     5.29    -3.96     0.20     0.20
  2212    0.000    0.000     -9.9558  0.940    -6.21     2.74    -0.20     0.20
  2212    0.000    0.000     -9.9558  0.940    -4.36     6.31    -0.20     0.20
   211   -0.139   -0.191     -1.8265  0.140    -0.42    -8.64   -37.18    38.60
  2212    0.000    0.000     -9.9558  0.940    -7.80    -3.66    -0.20     0.20
  2212    0.000    0.000     -9.9558  0.940    -3.46     5.84    -0.20     0.20
  2212    0.000    0.000     -9.9558  0.940    -4.60     3.28    -0.20     0.20
  -211    0.060   -0.085     -0.4882  0.140    -0.69   -11.86   -88.95    91.40
  2112    0.000    0.000      9.9558  0.940     8.49    -1.32     0.20     0.20
  2112    0.000    0.000     -9.9558  0.940    -6.29     0.72    -0.20     0.20
    22   -0.338   -0.082      3.1018  0.000 -.26E+06 -.48E+05 0.22E+07 0.22E+07
  2112    0.000    0.000      9.9558  0.940     5.82    -0.86     0.20     0.20
  2212    0.000    0.000     -9.9558  0.940    -6.74     0.61    -0.20     0.20
  2212    0.000    0.000     -9.9558  0.940    -6.19     1.02    -0.20     0.20
  2112    0.000    0.000     -9.9558  0.940    -5.58     2.21    -0.20     0.20
  2112    0.000    0.000     -9.9558  0.940    -6.70     1.61    -0.20     0.20
   111   -0.322   -0.450      1.6475  0.135    -6.39   -11.97    19.96    22.60
  2112    0.000    0.000      9.9558  0.940     1.38    -6.00     0.20     0.20
   111    0.382   -0.265      0.4595  0.135    17.93    -1.44    23.13    33.80
  2212    0.000    0.000     -9.9558  0.940    -5.14     3.02    -0.20     0.20
  2212    0.000    0.000     -9.9558  0.940    -7.06     3.77    -0.20     0.20
  2112    0.000    0.000      9.9558  0.940     7.06     0.62     0.20     0.20
  2112    0.000    0.000      9.9558  0.940     2.05     7.68     0.20     0.20
   211    0.229   -0.352     -1.2901  0.140     5.16    -5.44    -8.39     9.20
  2112    0.000    0.000      9.9558  0.940     6.57    -0.06     0.20     0.20
  2112    0.000    0.000      9.9558  0.940     7.84    -3.10     0.20     0.20
  2212    0.000    0.000      9.9558  0.940     6.12     2.00     0.20     0.20
  2212    0.000    0.000     -9.9558  0.940    -2.58    -6.87    -0.20     0.20
  2112    0.000    0.000     -9.9558  0.940    -5.63     1.55    -0.20     0.20
  2212    0.000    0.000      9.9558  0.940     5.48     4.62     0.20     0.20
  2112    0.000    0.000      9.9558  0.940     5.37    -3.49     0.20     0.20
  2112    0.000    0.000     -9.9558  0.940    -6.52     0.72    -0.20     0.20
  2112    0.000    0.000      9.9558  0.940     7.36     1.28     0.20     0.20
  2112    0.000    0.000     -9.9558  0.940    -6.63     2.08    -0.20     0.20
  2212    0.000    0.000      9.9558  0.940    11.33     2.58     0.20     0.20
  -211   -0.545   -0.092     -0.5773  0.140   -12.38    -4.66   -17.46    21.20
    22   -1.358   -1.177      0.2655  0.000    -3.51     5.31     0.12     0.80
    22    0.366   -0.153     -0.0664  0.000    -0.40     2.84    -0.13     0.80
    22   -0.031    0.170      0.0346  0.000    -2.90    -2.72     0.16     0.80
    22    0.074   -0.144     -0.0331  0.000    -1.43    -2.04    -0.16     0.80
    22    0.133   -0.154      0.0511  0.000    -3.96    -3.02     0.19     0.80
    22   -0.491    0.495      0.2212  0.000    -1.70     0.22     0.24     0.80
    22   -0.235   -0.046     -0.0868  0.000    -4.75    -1.29    -0.27     0.80
    22    0.079    0.101      0.1310  0.000     0.85     4.73     0.86     1.20
   111   -0.055    0.634      0.6375  0.135    -4.73     4.59     2.60     3.80
   211    0.140   -0.217      0.0452  0.140     0.25   -12.08     5.18    15.00
   211    0.280    0.198     -0.8646  0.140     8.74     6.83   -42.58    43.80
    22   -0.016   -0.034     -0.0491  0.000    -4.66     0.55    -0.95     1.20
  -211    0.441   -0.716     -0.2410  0.140     4.15    -5.17    -0.42     1.80
  -211   -0.713    0.015     -0.0120  0.140   -17.82    -6.99    -2.27    16.40
   111   -0.415    0.503      0.0773  0.135    -4.69     7.85    -1.31     3.80
   111   -0.054   -0.855     -0.2758  0.135     1.62    -8.50     1.38    10.60
   211   -0.012   -0.283     -0.1530  0.140     2.79    -8.01     0.18     5.20
   111   -0.424    0.181      0.3781  0.135   -14.14     1.92     2.16    13.00
    22    0.086    0.012     -0.1348  0.000    -2.16     5.93    -1.18     1.40
   211    0.151    0.003     -0.4225  0.140     7.72    -3.66    -2.54     7.20
  -211    0.217    0.278      0.0721  0.140    -3.83     9.71     0.01    10.80
   111   -0.192    0.199      0.3493  0.135    -1.48     0.05     6.66     9.40
   111   -0.633    0.050     -0.6541  0.135    -8.37     5.14    -9.37    11.00
   111    0.593    0.327      0.1126  0.135     5.03    -0.46     0.56     1.60
   111   -0.081   -0.122      0.5072  0.135     0.34    -6.48     7.57    12.80
  -211    0.106   -0.031     -0.2946  0.140     5.00    -4.71    -0.35     2.00
   111    0.499   -0.017     -0.0321  0.135    12.93    -5.43     0.78    12.40
   211    0.228   -0.060      0.3044  0.140    11.99    -1.23     2.26    12.00
   111    0.721   -0.299     -0.7038  0.135     7.80     0.12    -1.46     4.40
